"group";"order";"family";"genus";"species";"area";"country";"from";"to";"period";"origin";"summary";"reference";"href"
"Marine Fish";"Myctophiformes";"Myctophidae";"Diaphus";"Diaphus metopoclampus";"Central Mediterranean Sea";"Italy";2010;2011;"2010-2011";"Seawater";"1 white plastic item reported. The incidence of plastics reported was 0,3% (n=296)";"Romeo, T., Peda, C., Fossi, M.C., Andaloro, F. & Battaglia, P. (2016). First record of plastic debris in the stomach of Mediterranean lanternfishes. Acta Adriatica, 57(1), 115-124";"http://jadran.izor.hr/acta/pdf/57_1_pdf/57_1_9.pdf"
"Marine Fish";"Myctophiformes";"Myctophidae";"Hygophum";"Hygophum benoiti";"Central Mediterranean Sea";"Italy";2010;2014;"2010-2011, 2014";"Seawater";"5 plastic items reported, where 40% was white, 40% was hyaline and 20% black. The incidence of plastics reported was 6,8% (n=73)";"Romeo, T., Peda, C., Fossi, M.C., Andaloro, F. & Battaglia, P. (2016). First record of plastic debris in the stomach of Mediterranean lanternfishes. Acta Adriatica, 57(1), 115-124";"http://jadran.izor.hr/acta/pdf/57_1_pdf/57_1_9.pdf"
"Marine Fish";"Myctophiformes";"Myctophidae";"Myctophum";"Myctophum punctatum";"Central Mediterranean Sea";"Italy";2010;2014;"2010-2011, 2014";"Seawater";"3 plastic items reported, where 33% were hyaline, 33% grey and 34% black. The incidence of plastics reported was 4,2% (n=71)";"Romeo, T., Peda, C., Fossi, M.C., Andaloro, F. & Battaglia, P. (2016). First record of plastic debris in the stomach of Mediterranean lanternfishes. Acta Adriatica, 57(1), 115-124";"http://jadran.izor.hr/acta/pdf/57_1_pdf/57_1_9.pdf"
"Marine Fish";"Myctophiformes";"Myctophidae";"Electrona";"Electrona risso";"Central Mediterranean Sea";"Italy";2010;2014;"2010-2011, 2014";"Seawater";"5 plastic fragments reported, where 40% was hyaline, 40% yellow and 20% brown. The incidence of plastics reported was 6,1% (n=82)";"Romeo, T., Peda, C., Fossi, M.C., Andaloro, F. & Battaglia, P. (2016). First record of plastic debris in the stomach of Mediterranean lanternfishes. Acta Adriatica, 57(1), 115-124";"http://jadran.izor.hr/acta/pdf/57_1_pdf/57_1_9.pdf"
"Marine Fish";"Perciformes";"Serranidae";"Plectropomus";"Plectropomus maculatus";"South West Pacific Ocean";"Australia";1974;1974;"Before 1974";"Seawater";"2 P.maculatus (Bm1=6,6kg, Bm2=7,7kg) contained fish hooks encapsulated by tissue in their stomachs";"Walker, M.H. & Alexander, C.G. (1974). Encapsulated fish hooks from the stomachs of Plectropomus maculatus (Bloch)(Serranidae). Journal of Fish Biology, 6(6), 759-761";"https://doi.org/10.1111/j.1095-8649.1974.tb05117.x"
"Marine fish";"Beloniformes";"Belonidae";"Belone";"Belone belone";"North East Atlantic Ocean";"Ireland";1981;1983;"June-September 1981-1983";"Seawater";"Floatsam (marine debris) was found in 21 fish  wchih constitute 7,34% of the fish analysed. Three contained pieces of paper, tinfoil and cigarette ends";"Dorman, J.A. (1988). Diet of the garfish, Belone belone (L.), from Courtmacsherry Bay, Ireland. Journal of Fish Biology, 33, 333-346";"https://doi.org/10.1111/j.1095-8649.1988.tb05476.x"
"Marine fish";"Clupeiformes";"Clupeidae";"Alosa";"Alosa fallax";"East North Atlantic Ocean";"Portugal";1988;1989;"1988-1989";"Seawater";"Study carried out with fish from the Tagus estuary. Plastic and synthetic fibers such nylon was included within the Detritus cathegory with sand and vegetation, and occurred in 30.34%";"Assis, C.A., Almeida, P.R., Moreira, F., Costa, J.L. & Costa, M.J. (1992). Diet of the twaite shad Alosa fallax (Lacépède)(Clupeidae) in the River Tagus estuary, Portugal. Journal of Fish Biology, 41(6), 1049-1050";"https://doi.org/10.1111/j.1095-8649.1992.tb02734.x"
"Marine fish";"Carcharhiniformes ";"Carcharhinidae";"Prionace";"Prionace glauca";"North East Atlantic Ocean";"Ireland";1998;1998;1998;"Seawater";"An empty plastic carrier bag was recovered from the stomach of a 153 cm male, and a plastic refuse sack containing potato peel, orange peel and onion peel, was recovered from the stomach of a 179 cm female";"Henderson, A.C., Flannery, K. & Dunne, J. (2001). Observations on the biology and ecology of the blue shark in the North‐east Atlantic. Journal of Fish Biology, 58(5), 1347-1358";"https://doi.org/10.1111/j.1095-8649.2001.tb02291.x "
"Marine fish";"Squaliformes";"Somniosidae";"Somniosus";"Somniosus microcephalus";"North Atlantic Ocean";"Greenland (Denmark)";1980;1988;"1980-1983, 1988-1991";"Seawater";"Two sharks (5.41FO%) contained fishig gear and a plastic bag.";"Yano, K., Stevens, J.D. & Compagno, L.J.V. (2007). Distribution, reproduction and feeding of the Greenland shark Somniosus (Somniosus) microcephalus, with notes on two other sleeper sharks, Somniosus (Somniosus) pacificus and Somniosus (Somniosus) antarcticus. Journal of Fish Biology, 70(2), 374–390";"https://doi.org/10.1111/j.1095-8649.2007.01308.x "
"Marine fish";"Squaliformes";"Somniosidae";"Somniosus";"Somniosus pacificus";"North Pacific Ocean";"USA";1980;1988;"1980-1983, 1988-1991";"Seawater";"Two sharks contained plastic bags and 1 shark contained a soft drink can";"Yano, K., Stevens, J.D. & Compagno, L.J.V. (2007). Distribution, reproduction and feeding of the Greenland shark Somniosus (Somniosus) microcephalus, with notes on two other sleeper sharks, Somniosus (Somniosus) pacificus and Somniosus (Somniosus) antarcticus. Journal of Fish Biology, 70(2), 374–390";"https://doi.org/10.1111/j.1095-8649.2007.01308.x "
"Marine fish";"Gadiformes";"Gadidae";"Melanogrammus";"Melanogrammus aeglefinus";"North Sea";"UK";2004;2005;"April-August 2004 & June-September 2005";"Seawater";"Plastic was found in the stomach of one haddock (0,2%, n=492), which constitutes 0,12% of the biomass of the ingested items ";"Demain, D.K., Gallego, A., Jaworski, A., Priede, I.G. & Jones, E.G. (2011). Diet and feeding niches of juvenile Gadus morhua, Melanogrammus aeglefinus and Merlangius merlangus during the settlement transition in the northern North Sea. Journal of Fish Biology, 79(1), 89–111";"https://doi.org/10.1111/j.1095-8649.2011.02997.x "
"Marine fish";"Gadiformes";"Gadidae";"Merlangius";"Merlangius merlangus";"North Sea";"UK";2004;2005;"April-August 2004 & June-September 2005";"Seawater";"Plastic was found in one whiting (<0,01%, n=1311), which made up less than 0,01% of the total biomass of ingested items";"Demain, D.K., Gallego, A., Jaworski, A., Priede, I.G. & Jones, E.G. (2011). Diet and feeding niches of juvenile Gadus morhua, Melanogrammus aeglefinus and Merlangius merlangus during the settlement transition in the northern North Sea. Journal of Fish Biology, 79(1), 89–111";"https://doi.org/10.1111/j.1095-8649.2011.02997.x "
